p_type	dpi	cultivar	GO	NS	enrichment	name	criteria	ratio_in_study	assigned_genes	total_genes	p-to-use	p_uncorrected	depth	study_count	p_fdr_bh	study_items
pfdr0.05	7dpi	SA	GO:0043169	MF	e	cation binding                	both	27/229	27	229	2.56E-06	1.04E-08	3	27	2.56E-06	"TraesCS1A02G200400, TraesCS1D02G096300, TraesCS2A02G009300, TraesCS2A02G490900, TraesCS2D02G010200, TraesCS2D02G027600, TraesCS2D02G139100, TraesCS3A02G021900, TraesCS3A02G204000, TraesCS3B02G091400, TraesCS3B02G574300, TraesCS3D02G018200, TraesCS4A02G020900, TraesCS4A02G442500, TraesCS5A02G030900, TraesCS5A02G166100, TraesCS5A02G362400, TraesCS5A02G428200, TraesCS5B02G007100, TraesCS5B02G366900, TraesCS5D02G170700, TraesCS6A02G001000, TraesCS6A02G047500, TraesCS6B02G063400, TraesCS6B02G389200, TraesCS7D02G155400, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0043170	BP	e	macromolecule metabolic process	both	77/544	77	544	1.77E-08	9.92E-11	3	77	1.77E-08	"TraesCS1A02G304900, TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G233200, TraesCS1B02G434000, TraesCS1B02G476600, TraesCS1D02G072900, TraesCS2A02G022700, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G566600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G049600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G283600, TraesCS3A02G339600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G039700, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G123500, TraesCS3B02G481000, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G022200, TraesCS3D02G039300, TraesCS3D02G040800, TraesCS3D02G173300, TraesCS3D02G438600, TraesCS4A02G187300, TraesCS4A02G252800, TraesCS4A02G373100, TraesCS4A02G422100, TraesCS4A02G437100, TraesCS4A02G465900, TraesCS4B02G062500, TraesCS4B02G329100, TraesCS5A02G321300, TraesCS5A02G413900, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS6B02G152700, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS6D02G389600, TraesCS7A02G020600, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G347800, TraesCS7A02G427100, TraesCS7A02G434100, TraesCS7A02G510200, TraesCS7B02G333700, TraesCS7D02G015500, TraesCS7D02G036700, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	SA	GO:0043170	BP	e	macromolecule metabolic process	both	38/229	38	229	1.62E-05	7.30E-08	3	38	1.62E-05	"TraesCS1A02G086100, TraesCS1A02G152600, TraesCS1A02G406500, TraesCS1B02G170100, TraesCS1B02G436700, TraesCS2A02G009300, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G315700, TraesCS4B02G050200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7A02G523000, TraesCS7D02G032700, TraesCS7D02G419300, TraesCS7D02G548400, TraesCSU02G115400"
pfdr0.05	7dpi	SA	GO:0043229	CC	e	intracellular organelle       	both	39/229	39	229	2.90E-11	5.77E-14	3	39	2.90E-11	"TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS1D02G200000, TraesCS2A02G009300, TraesCS2A02G144800, TraesCS2A02G448400, TraesCS2A02G467900, TraesCS2A02G563100, TraesCS2B02G050600, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G079600, TraesCS2D02G525700, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS4D02G105300, TraesCS4D02G364400, TraesCS5A02G166100, TraesCS5B02G531900, TraesCS5D02G170700, TraesCS5D02G452000, TraesCS6A02G009200, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G342400, TraesCS7A02G108600, TraesCS7A02G126700, TraesCS7A02G206400, TraesCS7A02G422400, TraesCS7B02G026100, TraesCS7D02G032700, TraesCS7D02G124600, TraesCSU02G039800, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0043229	CC	e	intracellular organelle       	both	43/544	43	544	0.00331	5.11E-05	3	43	0.00331	"TraesCS1B02G285500, TraesCS1B02G419800, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G105900, TraesCS2A02G372400, TraesCS2A02G566600, TraesCS2B02G084200, TraesCS2B02G576100, TraesCS2B02G586400, TraesCS2D02G145300, TraesCS2D02G572300, TraesCS2D02G572700, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3A02G537600, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G173300, TraesCS3D02G432600, TraesCS4A02G357200, TraesCS4A02G373100, TraesCS4A02G421900, TraesCS4B02G155800, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G375000, TraesCS5A02G423000, TraesCS5B02G376900, TraesCS6A02G101800, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS6B02G109300, TraesCS6B02G129800, TraesCS6B02G271600, TraesCS6B02G387000, TraesCS6D02G090200, TraesCS6D02G374400, TraesCS7A02G128800, TraesCS7B02G044200, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	OA	GO:0044249	BP	e	cellular biosynthetic process 	both	36/544	36	544	4.91E-05	4.74E-07	3	36	4.91E-05	"TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G072900, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G173300, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS6D02G371300, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800, TraesCS7D02G269600"
pfdr0.05	7dpi	SA	GO:0044249	BP	e	cellular biosynthetic process 	both	19/229	19	229	0.00141	1.04E-05	3	19	0.00141	"TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G623400, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS4D02G259000, TraesCS5B02G102000, TraesCS5B02G531900, TraesCS6B02G113200, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0044282	BP	e	small molecule catabolic process	enriched-OA	6/544	6	544	0.00106	1.33E-05	3	6	0.00106	"TraesCS2A02G381100, TraesCS2B02G084200, TraesCS5A02G375000, TraesCS5B02G376900, TraesCS7A02G003600, TraesCS7B02G044200"
pfdr0.05	7dpi	SA	GO:0044436	CC	e	thylakoid part                	enriched-SA	9/229	9	229	8.68E-06	3.78E-08	3	9	8.68E-06	"TraesCS1A02G030000, TraesCS1A02G326100, TraesCS1B02G308500, TraesCS2A02G247300, TraesCS3B02G574300, TraesCS5B02G516600, TraesCS6A02G009200, TraesCS6B02G113200, TraesCS7A02G108600"
pfdr0.05	7dpi	SA	GO:0044444	CC	e	cytoplasmic part              	both	33/229	33	229	2.25E-12	3.51E-15	3	33	2.25E-12	"TraesCS1A02G030000, TraesCS1A02G326100, TraesCS1A02G406500, TraesCS1B02G308500, TraesCS1B02G436700, TraesCS1D02G200000, TraesCS2A02G009300, TraesCS2A02G031600, TraesCS2A02G448400, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G050600, TraesCS2B02G623400, TraesCS2D02G010200, TraesCS2D02G525700, TraesCS3A02G204000, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS4D02G105300, TraesCS5B02G531900, TraesCS6A02G009200, TraesCS6B02G113200, TraesCS6B02G189300, TraesCS6B02G342400, TraesCS7A02G108600, TraesCS7A02G126700, TraesCS7A02G422400, TraesCS7B02G026100, TraesCS7D02G124600, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:0044444	CC	e	cytoplasmic part              	both	33/544	33	544	0.001	1.23E-05	3	33	0.001	"TraesCS1B02G285500, TraesCS1B02G419800, TraesCS2A02G105900, TraesCS2A02G125200, TraesCS2A02G372400, TraesCS2A02G441600, TraesCS2B02G084200, TraesCS2B02G576100, TraesCS2B02G586400, TraesCS2D02G525900, TraesCS2D02G572300, TraesCS3A02G530800, TraesCS3A02G537600, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G432600, TraesCS4A02G357200, TraesCS4B02G101800, TraesCS4B02G311100, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5A02G423000, TraesCS5B02G376900, TraesCS6A02G101800, TraesCS6B02G041500, TraesCS6B02G058300, TraesCS6B02G109300, TraesCS6B02G129800, TraesCS6B02G387000, TraesCS6D02G090200, TraesCS6D02G374400, TraesCS7B02G044200"
pfdr0.05	7dpi	SA	GO:0044446	CC	e	intracellular organelle part  	enriched-SA	15/229	15	229	0.00396	4.50E-05	3	15	0.00396	"TraesCS1A02G030000, TraesCS1B02G308500, TraesCS1D02G200000, TraesCS2A02G448400, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G050600, TraesCS2B02G623400, TraesCS2D02G525700, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS5D02G452000, TraesCS6A02G009200, TraesCS6B02G113200, TraesCS7A02G108600"
pfdr0.05	7dpi	OA	GO:0044550	BP	e	secondary metabolite biosynthetic process	enriched-OA	3/544	3	544	0.0278	0.000667	3	3	0.0278	"TraesCS2A02G381100, TraesCS3D02G432600, TraesCS6A02G173700"
pfdr0.05	7dpi	OA	GO:0046483	BP	e	heterocycle metabolic process 	both	30/544	30	544	0.00408	6.98E-05	3	30	0.00408	"TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2D02G493600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS6B02G005300, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G536900, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	SA	GO:0046483	BP	e	heterocycle metabolic process 	both	16/229	16	229	0.0134	0.000216	3	16	0.0134	"TraesCS1A02G152600, TraesCS1B02G170100, TraesCS2A02G009300, TraesCS2A02G562400, TraesCS2D02G010200, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G278200, TraesCS6B02G113200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	SA	GO:0048519	BP	e	negative regulation of biological process	enriched-SA	6/229	6	229	0.0195	0.000369	3	6	0.0195	"TraesCS1A02G030000, TraesCS2A02G199300, TraesCS2D02G079600, TraesCS4A02G495800, TraesCS5A02G166100, TraesCS5D02G170700"
pfdr0.05	7dpi	OA	GO:0050662	MF	e	coenzyme binding              	enriched-OA	17/544	17	544	7.75E-06	5.91E-08	3	17	7.75E-06	"TraesCS1A02G291200, TraesCS2A02G026600, TraesCS2D02G185400, TraesCS2D02G493600, TraesCS3A02G305400, TraesCS3B02G320200, TraesCS3D02G237500, TraesCS4A02G331600, TraesCS4A02G357200, TraesCS4A02G393500, TraesCS5A02G375000, TraesCS5B02G376900, TraesCS6B02G353200, TraesCS7A02G392800, TraesCS7A02G536900, TraesCS7B02G044200, TraesCS7D02G440000"
pfdr0.05	7dpi	OA	GO:0050790	BP	e	regulation of catalytic activity	enriched-OA	7/544	7	544	0.0486	0.00138	3	7	0.0486	"TraesCS1A02G265600, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS2A02G245100, TraesCS3D02G094200, TraesCS4A02G252800, TraesCS4B02G062500"
pfdr0.05	7dpi	OA	GO:0050794	BP	e	regulation of cellular process	enriched-OA	32/544	32	544	0.00249	3.49E-05	3	32	0.00249	"TraesCS1A02G265600, TraesCS1B02G036700, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G245100, TraesCS2A02G569300, TraesCS2B02G627900, TraesCS2D02G144800, TraesCS2D02G503600, TraesCS2D02G568600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G173300, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3B02G204200, TraesCS3D02G094200, TraesCS3D02G173300, TraesCS3D02G179800, TraesCS4A02G187300, TraesCS4A02G373100, TraesCS4B02G101800, TraesCS4B02G329100, TraesCS5A02G533500, TraesCS6B02G005300, TraesCS6B02G412300, TraesCS6D02G358700, TraesCS6D02G371300, TraesCS7A02G128800, TraesCS7D02G263800"
pfdr0.05	7dpi	OA	GO:0051082	MF	e	unfolded protein binding      	enriched-OA	8/544	8	544	5.06E-07	3.31E-09	3	8	5.06E-07	"TraesCS2B02G576100, TraesCS5A02G260600, TraesCS5D02G276100, TraesCS6A02G101800, TraesCS6B02G129800, TraesCS6D02G090200, TraesCS7B02G446900, TraesCS7D02G241100"
pfdr0.05	7dpi	OA	GO:0061134	MF	e	peptidase regulator activity  	enriched-OA	6/544	6	544	0.0161	0.000346	3	6	0.0161	"TraesCS1A02G265600, TraesCS1B02G276500, TraesCS1B02G276900, TraesCS2A02G158800, TraesCS2D02G165800, TraesCS3D02G094200"
pfdr0.05	7dpi	OA	GO:1901265	MF	e	nucleoside phosphate binding  	enriched-OA	97/544	97	544	3.43E-27	6.41E-30	3	97	3.43E-27	"TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G060700, TraesCS1B02G233200, TraesCS1B02G476600, TraesCS2A02G003900, TraesCS2A02G026600, TraesCS2A02G112300, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G571100, TraesCS2D02G571300, TraesCS2D02G572600, TraesCS2D02G574500, TraesCS3A02G049600, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G306400, TraesCS3B02G320200, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G040800, TraesCS3D02G234300, TraesCS3D02G237500, TraesCS3D02G356300, TraesCS3D02G438600, TraesCS4A02G035700, TraesCS4A02G130300, TraesCS4A02G187300, TraesCS4A02G331100, TraesCS4A02G357200, TraesCS4A02G363900, TraesCS4A02G393500, TraesCS4A02G444900, TraesCS4A02G447300, TraesCS4A02G447700, TraesCS4A02G465900, TraesCS4A02G466000, TraesCS4A02G471700, TraesCS4B02G140200, TraesCS4D02G134900, TraesCS4D02G267800, TraesCS5A02G003600, TraesCS5A02G157200, TraesCS5A02G217300, TraesCS5A02G260600, TraesCS5A02G321300, TraesCS5A02G413900, TraesCS5A02G479300, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G087700, TraesCS5B02G428400, TraesCS5B02G492500, TraesCS5D02G019400, TraesCS5D02G276100, TraesCS5D02G328100, TraesCS5D02G492900, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G058300, TraesCS6B02G141400, TraesCS6B02G152700, TraesCS6B02G353200, TraesCS6B02G367800, TraesCS6D02G375700, TraesCS6D02G392700, TraesCS7A02G007400, TraesCS7A02G039500, TraesCS7A02G039900, TraesCS7A02G046900, TraesCS7A02G111100, TraesCS7A02G118900, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G442600, TraesCS7A02G536900, TraesCS7A02G567500, TraesCS7B02G044200, TraesCS7B02G333700, TraesCS7B02G340200, TraesCS7B02G446900, TraesCS7D02G017400, TraesCS7D02G020800, TraesCS7D02G036700, TraesCS7D02G114200, TraesCS7D02G241100, TraesCS7D02G544600, TraesCS7D02G546100, TraesCSU02G093100, TraesCSU02G141500"
pfdr0.05	7dpi	OA	GO:1901360	BP	e	organic cyclic compound metabolic process	both	34/544	34	544	0.000325	3.59E-06	3	34	0.000325	"TraesCS1B02G233200, TraesCS1D02G072900, TraesCS2A02G101400, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G039700, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G022200, TraesCS3D02G173300, TraesCS3D02G192800, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4A02G437100, TraesCS4B02G311100, TraesCS4B02G329100, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5D02G540800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS7A02G003600, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7D02G015500, TraesCS7D02G073400, TraesCS7D02G263800, TraesCSU02G002300"
pfdr0.05	7dpi	SA	GO:1901360	BP	e	organic cyclic compound metabolic process	both	16/229	16	229	0.0187	0.000338	3	16	0.0187	"TraesCS1A02G152600, TraesCS1B02G170100, TraesCS2A02G009300, TraesCS2A02G562400, TraesCS2D02G010200, TraesCS3A02G434400, TraesCS3B02G039600, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G278200, TraesCS6B02G113200, TraesCS6D02G229600, TraesCS6D02G350000, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:1901564	BP	e	organonitrogen compound metabolic process	both	76/544	76	544	1.22E-12	5.52E-15	3	76	1.22E-12	"TraesCS1A02G291200, TraesCS1A02G304900, TraesCS1A02G433500, TraesCS1B02G036700, TraesCS1B02G233200, TraesCS1B02G434000, TraesCS1B02G476600, TraesCS1D02G141800, TraesCS2A02G022700, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2A02G566600, TraesCS2B02G084000, TraesCS2B02G084100, TraesCS2D02G145300, TraesCS2D02G493600, TraesCS2D02G571100, TraesCS2D02G572300, TraesCS2D02G572600, TraesCS3A02G040800, TraesCS3A02G049600, TraesCS3A02G283600, TraesCS3A02G305400, TraesCS3B02G005000, TraesCS3B02G005100, TraesCS3B02G055700, TraesCS3B02G055835, TraesCS3B02G056500, TraesCS3B02G481000, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G022200, TraesCS3D02G039300, TraesCS3D02G040800, TraesCS3D02G192800, TraesCS3D02G438600, TraesCS3D02G493700, TraesCS4A02G187300, TraesCS4A02G252800, TraesCS4A02G422100, TraesCS4A02G465900, TraesCS4B02G062500, TraesCS4B02G311100, TraesCS4D02G263500, TraesCS5A02G014400, TraesCS5A02G321300, TraesCS5A02G375000, TraesCS5A02G413900, TraesCS5B02G042800, TraesCS5B02G056700, TraesCS5B02G376900, TraesCS5B02G428400, TraesCS5D02G019400, TraesCS5D02G328100, TraesCS6A02G004500, TraesCS6A02G008400, TraesCS6A02G058500, TraesCS6A02G385000, TraesCS6B02G041500, TraesCS6B02G152700, TraesCS6D02G371300, TraesCS6D02G375700, TraesCS6D02G381300, TraesCS6D02G389600, TraesCS7A02G003600, TraesCS7A02G020600, TraesCS7A02G347800, TraesCS7A02G392800, TraesCS7A02G434100, TraesCS7A02G442500, TraesCS7A02G510200, TraesCS7A02G536900, TraesCS7B02G333700, TraesCS7D02G036700"
pfdr0.05	7dpi	SA	GO:1901564	BP	e	organonitrogen compound metabolic process	both	34/229	34	229	7.90E-06	3.32E-08	3	34	7.90E-06	"TraesCS1A02G086100, TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS2A02G467900, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G011400, TraesCS2B02G623400, TraesCS2D02G525700, TraesCS2D02G571400, TraesCS3A02G001500, TraesCS3A02G204000, TraesCS3B02G574300, TraesCS3D02G004600, TraesCS3D02G008600, TraesCS3D02G022400, TraesCS3D02G022600, TraesCS4A02G020900, TraesCS4B02G050200, TraesCS4B02G278200, TraesCS4B02G286300, TraesCS5A02G365400, TraesCS5B02G366900, TraesCS5B02G531900, TraesCS5B02G535400, TraesCS6B02G189300, TraesCS6B02G278200, TraesCS6B02G342400, TraesCS6B02G389200, TraesCS6B02G404500, TraesCS7A02G523000, TraesCS7D02G548400, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:1901575	BP	e	organic substance catabolic process	enriched-OA	12/544	12	544	0.0161	0.000346	3	12	0.0161	"TraesCS2A02G022700, TraesCS2A02G381100, TraesCS2B02G084200, TraesCS3B02G039700, TraesCS3D02G192800, TraesCS4B02G311100, TraesCS5A02G014400, TraesCS5A02G375000, TraesCS5B02G376900, TraesCS7A02G003600, TraesCS7A02G020600, TraesCS7B02G044200"
pfdr0.05	7dpi	OA	GO:1901576	BP	e	organic substance biosynthetic process	both	37/544	37	544	3.34E-05	3.11E-07	3	37	3.34E-05	"TraesCS1B02G107600, TraesCS1B02G233200, TraesCS1D02G072900, TraesCS1D02G141800, TraesCS2A02G101400, TraesCS2A02G125200, TraesCS2A02G381100, TraesCS2D02G493600, TraesCS2D02G572300, TraesCS3A02G056000, TraesCS3A02G167200, TraesCS3A02G339600, TraesCS3B02G123500, TraesCS3D02G001500, TraesCS3D02G003200, TraesCS3D02G003800, TraesCS3D02G020200, TraesCS3D02G173300, TraesCS3D02G432600, TraesCS3D02G493700, TraesCS4A02G373100, TraesCS4B02G329100, TraesCS4D02G263500, TraesCS5A02G375000, TraesCS5B02G042800, TraesCS5B02G376900, TraesCS5D02G540800, TraesCS6A02G173700, TraesCS6B02G005300, TraesCS6B02G041500, TraesCS7A02G013400, TraesCS7A02G030500, TraesCS7A02G128800, TraesCS7A02G392800, TraesCS7A02G442500, TraesCS7D02G263800, TraesCS7D02G269600"
pfdr0.05	7dpi	SA	GO:1901576	BP	e	organic substance biosynthetic process	both	18/229	18	229	0.00415	4.98E-05	3	18	0.00415	"TraesCS1A02G353800, TraesCS1A02G406500, TraesCS1B02G436700, TraesCS1D02G042100, TraesCS2A02G562400, TraesCS2A02G563100, TraesCS2B02G623400, TraesCS3A02G204000, TraesCS3A02G434400, TraesCS3B02G574300, TraesCS3D02G022400, TraesCS4A02G315700, TraesCS4B02G286300, TraesCS5B02G102000, TraesCS5B02G531900, TraesCS6B02G113200, TraesCS7D02G032700, TraesCSU02G115400"
pfdr0.05	7dpi	OA	GO:1990204	CC	e	oxidoreductase complex        	both	5/544	5	544	0.00252	3.57E-05	3	5	0.00252	"TraesCS2B02G084200, TraesCS6A02G374400, TraesCS6B02G412100, TraesCS6D02G358900, TraesCS6D02G374400"
pfdr0.05	7dpi	SA	GO:1990204	CC	e	oxidoreductase complex        	both	3/229	3	229	0.0254	0.00051	3	3	0.0254	"TraesCS2A02G247300, TraesCS5B02G516600, TraesCS6B02G342400"
pfdr0.05	7dpi	SA	GO:2000241	BP	e	regulation of reproductive process	enriched-SA	3/229	3	229	0.0367	0.000832	3	3	0.0367	"TraesCS2D02G079600, TraesCS5A02G166100, TraesCS5D02G170700"
